n,p,seed,k,method,found,solution,valid,timeout,num_variables,num_clauses,encoding_time,solver_time,total_time
50,0.8,2,15,minisat,False,[],True,False,575,2005,0.004774599999990414,0.01556399999998348,0.020338599999973894
50,0.8,2,15,cadical,False,[],True,False,575,2005,0.004774599999990414,0.020010900000016818,0.024785500000007232
50,0.8,2,20,backtracking,False,[],True,False,,,,0.01766229999998359,0.01766229999998359
50,0.8,2,20,minisat,False,[],True,False,650,2165,0.0068110999999930755,0.014189799999996922,0.021000899999989997
50,0.8,2,20,cadical,False,[],True,False,650,2165,0.0068110999999930755,0.016048299999994242,0.022859399999987318
50,0.8,3,15,backtracking,False,[],True,False,,,,0.019112599999999702,0.019112599999999702
50,0.8,3,15,minisat,False,[],True,False,575,2000,0.003618299999999408,0.01009390000001531,0.013712200000014718
50,0.8,3,15,cadical,False,[],True,False,575,2000,0.003618299999999408,0.020121899999992365,0.023740199999991773
50,0.8,3,20,backtracking,False,[],True,False,,,,0.010690399999987221,0.010690399999987221
50,0.8,3,20,minisat,False,[],True,False,650,2160,0.005328500000018721,0.011502999999976282,0.016831499999995003
50,0.8,3,20,cadical,False,[],True,False,650,2160,0.005328500000018721,0.03244449999999688,0.0377730000000156
60,0.2,1,18,backtracking,,[],,True,,,,10.0,10.0
60,0.2,1,18,minisat,False,[],True,False,816,1823,0.00459250000000111,0.5094164999999862,0.5140089999999873
60,0.2,1,18,cadical,False,[],True,False,816,1823,0.00459250000000111,0.9179368000000068,0.9225293000000079
60,0.2,1,24,backtracking,,[],,True,,,,10.0,10.0
60,0.2,1,24,minisat,False,[],True,False,924,2051,0.008974699999981794,0.10054940000000556,0.10952409999998736
60,0.2,1,24,cadical,False,[],True,False,924,2051,0.008974699999981794,0.07866980000000012,0.08764449999998192
60,0.2,2,18,backtracking,,[],,True,,,,10.0,10.0
60,0.2,2,18,minisat,False,[],True,False,816,1826,0.005954900000006091,0.45024029999999016,0.45619519999999625
60,0.2,2,18,cadical,False,[],True,False,816,1826,0.005954900000006091,0.8109565999999973,0.8169115000000033
60,0.2,2,24,backtracking,,[],,True,,,,10.0,10.0
60,0.2,2,24,minisat,False,[],True,False,924,2054,0.005984499999982518,0.0808142999999859,0.08679879999996842
60,0.2,2,24,cadical,False,[],True,False,924,2054,0.005984499999982518,0.1918728999999928,0.19785739999997531
60,0.2,3,18,backtracking,,[],,True,,,,10.0,10.0
60,0.2,3,18,minisat,False,[],True,False,816,1847,0.00854029999999284,0.38368470000000343,0.39222499999999627
60,0.2,3,18,cadical,False,[],True,False,816,1847,0.00854029999999284,0.6523696000000143,0.6609099000000072
60,0.2,3,24,backtracking,,[],,True,,,,10.0,10.0
60,0.2,3,24,minisat,False,[],True,False,924,2075,0.01039850000000797,0.0750725999999986,0.08547110000000657
60,0.2,3,24,cadical,False,[],True,False,924,2075,0.01039850000000797,0.11838879999999108,0.12878729999999905
60,0.5,1,18,backtracking,False,[],True,False,,,,0.8466715999999792,0.8466715999999792
60,0.5,1,18,minisat,False,[],True,False,816,2348,0.00905140000000415,0.04318329999998127,0.05223469999998542
60,0.5,1,18,cadical,False,[],True,False,816,2348,0.00905140000000415,0.04375569999999129,0.052807099999995444
60,0.5,1,24,backtracking,False,[],True,False,,,,0.2686892000000114,0.2686892000000114
60,0.5,1,24,minisat,False,[],True,False,924,2576,0.00916159999999877,0.01887359999997784,0.028035199999976612
60,0.5,1,24,cadical,False,[],True,False,924,2576,0.00916159999999877,0.030523499999986825,0.039685099999985596
